datetime,HR,A1,A2,A3,A4,A5,A6,A7
2017-10-29 23:00:00,52.91,55.63592,54.72855,54.808197,54.506996,53.77576,54.83993,56.040894
2017-10-30 00:00:00,46.459999999999994,51.52939,51.379295,51.433834,48.79062,51.808235,50.366505,50.95577
2017-10-30 01:00:00,42.59,46.659237,48.35211,46.948048,44.314854,47.162117,46.4512,46.189728
2017-10-30 02:00:00,39.07,43.645523,44.808342,43.681313,41.3988,43.932297,44.8391,42.333485
2017-10-30 03:00:00,39.33,42.058914,43.612362,43.01142,42.25095,42.932865,42.691647,42.196712
2017-10-30 04:00:00,43.15,43.407024,47.82256,45.50089,45.989258,45.724834,46.48799,44.620785
2017-10-30 05:00:00,55.459999999999994,49.07842,51.52413,51.9714,50.88927,50.108128,54.06445,50.714798
2017-10-30 06:00:00,66.35,60.085117,62.441578,60.99219,60.407104,61.791008,62.29565,62.051544
2017-10-30 07:00:00,68.82,68.96278,67.91485,67.05114,67.75386,66.64647,69.924706,68.60574
2017-10-30 08:00:00,66.46,69.5403,66.644554,66.527405,67.06254,66.224686,67.98899,68.47376
2017-10-30 09:00:00,63.52,65.91082,64.39421,65.97178,64.3848,65.53935,64.03239,65.77485
2017-10-30 10:00:00,61.55,62.215282,61.883286,63.065403,62.165836,62.126232,63.176807,63.72676
2017-10-30 11:00:00,58.16,60.96512,61.79284,62.87286,60.688427,63.446,63.569115,62.8756
2017-10-30 12:00:00,58.55,57.70814,59.419754,60.22902,56.811115,60.553883,61.2334,58.4567
2017-10-30 13:00:00,61.709999999999994,57.948227,59.464264,60.323303,57.83641,59.95351,58.600876,59.296227
2017-10-30 14:00:00,61.68999999999999,62.23729,63.96993,61.072712,60.043633,61.63988,61.098145,62.810677
2017-10-30 15:00:00,62.6,62.500443,64.59094,61.900185,61.489494,62.990562,61.66515,62.873142
2017-10-30 16:00:00,67.44,66.55825,67.02837,65.58731,66.2903,66.12276,65.870155,65.51812
2017-10-30 17:00:00,73.41,71.10362,72.660805,72.407104,71.422745,72.58059,72.14458,70.3345
2017-10-30 18:00:00,74.54,75.24612,74.799065,74.29301,72.55967,74.12756,74.339226,74.12636
2017-10-30 19:00:00,72.88,73.39451,72.842,71.23701,72.32074,74.14424,73.07135,71.55955
2017-10-30 20:00:00,63.72,69.96896,68.9259,68.21982,68.68853,70.07802,69.41287,68.466805
2017-10-30 21:00:00,58.18,60.253063,60.9424,59.573833,58.738686,62.621605,60.81225,59.692116
2017-10-30 22:00:00,55.709999999999994,56.14032,57.560684,57.242626,56.755955,58.23393,57.07048,56.99919
2017-10-30 23:00:00,52.709999999999994,52.56682,54.672752,53.3426,54.056732,55.15316,51.98251,53.129192
2017-10-31 00:00:00,51.459999999999994,49.870335,50.947636,50.88089,50.08106,51.050182,49.90052,51.342068
2017-10-31 01:00:00,49.71999999999999,49.3544,50.083733,48.972034,47.944874,49.85113,47.7755,49.751163
2017-10-31 02:00:00,46.879999999999995,48.700443,49.063683,48.34067,48.768578,48.794666,47.39983,49.20904
2017-10-31 03:00:00,46.45,47.18114,47.721813,48.083176,47.452183,46.755863,47.727722,47.812653
2017-10-31 04:00:00,49.82,48.60931,48.77558,50.109295,49.98886,49.859745,48.947857,49.56807
2017-10-31 05:00:00,56.05,54.521748,54.610924,56.21755,56.898903,54.71128,57.869087,55.676533
2017-10-31 06:00:00,68.74,61.204582,62.16354,61.881668,62.09566,62.401104,66.461006,59.736538
2017-10-31 07:00:00,72.19,68.69528,69.81365,70.41715,69.82764,69.70626,70.01291,70.47378
2017-10-31 08:00:00,69.99,70.225716,69.60334,68.42417,69.55938,67.54151,70.97939,70.32577
2017-10-31 09:00:00,68.9,67.56725,67.91523,68.05596,66.75154,68.11734,69.33547,68.43879
2017-10-31 10:00:00,65.92,66.756516,66.33115,66.632,65.4304,65.8404,66.19063,67.23077
2017-10-31 11:00:00,65.46,63.89795,65.0428,64.959274,65.68161,63.83156,63.683037,65.364944
2017-10-31 12:00:00,66.74,63.501163,64.39057,64.025925,63.491932,63.821228,63.747807,64.04276
2017-10-31 13:00:00,66.27,65.68584,66.49086,64.46787,64.62812,65.310394,64.74113,65.491135
